year,file_count,instruments,global_mean_du
1979,336,TOMS_N7,315.2149353027344
1980,366,TOMS_N7,313.3343811035156
1981,365,TOMS_N7,310.502685546875
1982,364,TOMS_N7,310.22601318359375
1983,365,TOMS_N7,304.8769226074219
1984,366,TOMS_N7,305.8794250488281
1985,365,TOMS_N7,299.3556823730469
1986,365,TOMS_N7,301.31304931640625
1987,365,TOMS_N7,300.33233642578125
1988,366,TOMS_N7,305.434814453125
1989,365,TOMS_N7,303.14013671875
1990,365,TOMS_N7,295.39276123046875
1991,365,TOMS_N7,302.9283142089844
1992,366,TOMS_N7,294.3250427246094
1993,126,TOMS_N7,296.9393615722656
1996,140,TOMS1,280.0743713378906
1997,354,TOMS1,287.1329650878906
1998,346,TOMS1,295.3919372558594
1999,364,TOMS1,292.7968444824219
2000,366,TOMS1,293.8006286621094
2001,365,TOMS1,295.07366943359375
2002,356,TOMS1,301.57769775390625
2003,354,TOMS1,296.6353454589844
2004,366,TOMS1_,294.7998962402344
2005,365,OMI,292.3270568847656
2006,362,OMI,291.0168151855469
2007,364,OMI,292.05755615234375
2008,364,OMI,289.8429260253906
2009,365,OMI,293.8753662109375
2010,365,OMI,298.0994567871094
2011,365,OMI,289.4980773925781
2012,366,OMI,297.65618896484375
2013,365,OMI,298.8522033691406
2014,365,OMI,298.2701110839844
2015,365,OMI,295.1788635253906
2016,353,OMI,294.9563903808594
2017,359,OMI,297.2849426269531
2018,365,OMI,297.9992980957031
2019,365,OMI,303.2123718261719
2020,213,OMI,298.6380615234375
